Export Sales Query System,,,,,,,,,,,,,
Export Sales Data by Date/Commodity,,,,,,,,,,,,,
From: 01/01/2017 To: 10/17/2019,,,,,,,,,,,,,
Source: USDA/FAS/Export Sales Reporting,,,,,,,,,,,,,
10/17/2019,,,,,,,CMY,CMY,CMY,CMY,NMY,NMY,
,,,,,Weekly,Accumulated,Outstanding,Gross,Net,Total,Outstanding,Net,
,,,,,,,,,,,,,
Date,,,Commodity,Country,Exports,Exports,Sales,New Sales,Sales,Commitment,Sales,Sales,Unit Desc
,,,,,,,,,,,,,
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,BANGLADESH,0,"224,815","118,000",0,0,"342,815",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,BARBADOS,0,"13,303","8,000",0,0,"21,303",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,BURMA,0,"3,865","1,997",0,0,"5,862",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,CANADA,"2,280","115,554","10,063","3,673","3,673","125,617",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","629,820","25,585,752","6,125,007","150,717","200,320","31,710,759","264,000",0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,COLOMBIA,"14,300","158,945","25,340",500,"10,500","184,285",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,COSTA RICA,0,"102,855","152,485",0,"-1,790","255,340",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,CUBA,0,"14,400","41,500",0,0,"55,900",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,DOMINICAN REPUBLIC,0,104,0,0,0,104,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,EGYPT,"114,583","177,242",0,"5,990","54,583","177,242",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,EL SALVADOR,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,FRANCE,0,"66,000",0,0,0,"66,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,GERMANY,0,"361,578",0,0,0,"361,578",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,GREECE,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,GUATEMALA,0,"5,385",0,0,0,"5,385",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,HONG KONG,0,125,0,0,0,125,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,INDIA,0,"1,185",0,0,0,"1,185",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,INDONESIA,"24,593","775,513","314,111","11,147","11,570","1,089,624",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,ISRAEL,0,"30,862",0,0,0,"30,862",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,ITALY,0,"115,289","66,000",0,0,"181,289",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,JAPAN,"89,548","841,455","536,774","4,408","59,980","1,378,229","24,545","9,000",Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,"KOREA, REPUBLIC OF","61,074","351,932","133,387","4,400","59,190","485,319",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,LEEWARD-WINDWARD ISLANDS,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,MALAYSIA,"2,502","130,761","61,095",363,363,"191,856",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,MEXICO,"57,888","1,316,663","758,720","69,839","67,815","2,075,383","42,000",0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,MOROCCO,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,NEPAL,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,NETHERLANDS,"202,739","811,655","5,445","5,297","208,184","817,100",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,NICARAGUA,0,0,"2,000",0,0,"2,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,PAKISTAN,0,"197,443","139,000",0,0,"336,443",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,PANAMA,0,"12,935","5,400",0,0,"18,335",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,PERU,0,"66,566",500,0,0,"67,066",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,PHILIPPINES,729,"52,193","28,635","1,541","1,541","80,828",0,0,Metric Tons
01/05/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,RUSSIAN FEDERATION,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SAUDI ARABIA,"71,217","213,227",0,"6,217","6,217","213,227",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SINGAPORE,42,"17,210",144,0,0,"17,354",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SPAIN,0,"515,864","60,000",0,0,"575,864","60,000",0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SWEDEN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SWITZERLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,TAIWAN,"17,711","585,501","341,079","4,304",-281,"926,580",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,THAILAND,"38,750","617,162","105,340","6,947","31,226","722,502",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,TUNISIA,0,"128,022","60,000",0,0,"188,022",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,TURKEY,"65,991","199,634",0,"66,000","65,991","199,634",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,VENEZUELA,0,"5,400",0,0,0,"5,400",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,VIETNAM,"38,281","388,652","51,154","13,353","41,315","439,806",0,0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,EUROPEAN UNION - 27,"202,739","2,102,481","131,445","5,297","208,184","2,233,926","60,000",0,Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,KNOWN,"1,432,048","34,535,439","9,151,176","354,696","820,397","43,686,615","390,545","9,000",Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,UNKNOWN,0,0,"4,634,933","83,200","-471,500","4,634,933","198,000","-66,000",Metric Tons
,,,,,,,,,,,,,
01/05/2017,,,Soybeans,GRAND TOTAL,"1,432,048","34,535,439","13,786,109","437,896","348,897","48,321,548","588,545","-57,000",Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,BAHRAIN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,BANGLADESH,0,"224,815","118,000",0,0,"342,815",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,BARBADOS,0,"13,303","8,000",0,0,"21,303",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,BURMA,260,"4,125","1,737",0,0,"5,862",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,CAMEROON,0,"8,000",0,0,0,"8,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,CANADA,"4,460","120,014","5,861",259,258,"125,875",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,CHILE,0,"9,983",0,0,0,"9,983",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,"CHINA, PEOPLES REPUBLIC OF","993,681","26,579,433","5,743,430","302,166","612,104","32,322,863","264,000",0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,COLOMBIA,0,"158,945","41,440","16,100","16,100","200,385",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,COSTA RICA,0,"102,855","152,485",0,0,"255,340",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,CUBA,0,"14,400","41,500",0,0,"55,900",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,DOMINICAN REPUBLIC,0,104,0,0,0,104,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,EGYPT,0,"177,242","66,000","66,000","66,000","243,242",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,FRANCE,0,"66,000",0,0,0,"66,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,GERMANY,"75,297","436,875",0,"75,297","75,297","436,875",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,GREECE,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,GUATEMALA,0,"5,385",0,0,0,"5,385",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,HONG KONG,0,125,0,0,0,125,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,INDIA,0,"1,185",0,0,0,"1,185",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,INDONESIA,"85,334","860,847","310,024","35,288","81,247","1,170,871",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,IRAN,0,"80,314",0,0,0,"80,314",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,IRELAND,0,"2,566",0,0,0,"2,566",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,ISRAEL,0,"30,862",0,0,0,"30,862",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,ITALY,0,"115,289","66,000",0,0,"181,289",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,JAPAN,"42,070","883,525","517,788","18,546","23,084","1,401,313","25,285",740,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,"KOREA, REPUBLIC OF",575,"352,507","157,518","25,000","24,706","510,025",0,0,Metric Tons
01/12/2017,,,Soybeans,KUWAIT,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,LEEWARD-WINDWARD ISLANDS,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,MALAYSIA,760,"131,521","60,329",10,-6,"191,850",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,MEXICO,"69,703","1,386,366","873,035","184,586","184,018","2,259,401","42,000",0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,MOROCCO,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,NEPAL,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,NETHERLANDS,"69,379","881,034","5,445","3,379","69,379","886,479",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,NICARAGUA,0,0,"2,000",0,0,"2,000",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,PAKISTAN,"66,000","263,443","73,000",0,0,"336,443",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,PANAMA,0,"12,935","5,400",0,0,"18,335",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,PERU,0,"66,566",500,0,0,"67,066",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,PHILIPPINES,"1,011","53,204","29,673","2,049","2,049","82,877",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,PORTUGAL,0,"57,812",0,0,0,"57,812",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,RUSSIAN FEDERATION,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SAUDI ARABIA,0,"213,227",0,0,0,"213,227",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SINGAPORE,0,"17,210",144,0,0,"17,354",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SPAIN,"31,977","547,841","60,000","1,977","31,977","607,841","60,000",0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SRI LANKA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SWEDEN,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SWITZERLAND,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,SYRIA,0,0,0,0,0,0,0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,TAIWAN,"24,992","610,493","323,430","7,399","7,343","933,923",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,THAILAND,"78,658","695,820","98,472","5,790","71,790","794,292",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,TUNISIA,"31,598","159,620","30,000","1,598","1,598","189,620",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,TURKEY,0,"199,634",0,0,0,"199,634",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,UNITED KINGDOM,0,"171,717",0,0,0,"171,717",0,0,Metric Tons
,,,,,,,,,,,,,
01/12/2017,,,Soybeans,VENEZUELA,0,"5,400",0,0,0,"5,400",0,0,Metric Tons
,,,,,,,,,,,,,
